,mergy.workerid,mergy.assignmentid,mergy.bonus
1,A002160837SWJFPIAI7L7,3DH6GAKTYYQ1VR7DH0GPAQJCHX0YZZ,2
2,A102NBAO98UAD8,3QRYMNZ7FYIBXGU046IW7MKOSHATNO,0
3,A10E5MI9D5XEUQ,392CY0QWG1SZ2U4JSP4WU6CFQJZI41,2
4,A1299WL9DI3TEF,30X31N5D63R3YXNW6281BB42RRXSAE,1.22
5,A143XRCI1YXAFE,3K9FOBBF2HKNE3MVVXG5LVA7Y4QNLH,1.09
6,A143XRCI1YXAFE,3K9FOBBF2HKNE3MVVXG5LVA7Y4QNLH,1.09
7,A15SUPIZ05ZFCD,3OF2M9AATGP6BMIWDLFY1I41JIRZK5,2
8,A15WCNO32MHBAF,3GGAI1SQEVZOTH7P6J865XVKZ50CMO,2
9,A16HSMUJ7C7QA7,31EUONYN2V48STY1AGIONT8EFCVOVE,1.09
10,A171S8E9IFSHH2,3KMS4QQVK2R065RWC9LRYQOJ7DXKF2,1.09
11,A17MA8G7U54827,3X0H8UUIT1P05AQZ774TT01TJA0WST,2
12,A17TKHT8FEVH0R,3YW4XOSQKQMNJM20ZOA8FBTN8UCU18,0.19
13,A18AP8I010IFW1,34YB12FSQYP1ATNU854PVOGZXZ7MGR,1.52
14,A18QU0YQB6Q8DF,3AAJC4I4FGTB02CEV0FM034O4U6ZJN,1.09
15,A1945USNZHTROX,3NGI5ARFTT6ARHU4I2BE556O0D1P1O,1.52
16,A198MSVO1VTAT5,3SKEMFQBZ36RRQH94VFLOY7XK9KK8L,1.43
17,A1DIW2K1J89CMO,38BQUHLA9W1P264SWOHX0XP1OJJMOV,0
18,A1DX0Z20W07YOR,3A7Y0R2P2OPMV7CZUIR13IODWTTJXT,2
19,A1E4K9G6ZKPKX4,3TS1AR6UQQFCBQKCTFWIULJX1TXF7R,1.09
20,A1ERMRNNR0CZ2Y,33LK57MYLT64Z5V4IUO0S4VB0C4ZSM,1.22
21,A1F1OZ54G177D8,3GM6G9ZBKNY5FY90S53WU7VONR0TMO,2
22,A1F3P6N7BO9HBN,3BXQMRHWKZZKFBOPSAT6Z3HQ657MU8,0.67
23,A1F46RJTOXQM4J,3634BBTX0OV90A18C60FLA96FAPIF8,1.09
24,A1FLEFIVFT809G,30H4UDGLT2J7N6GTBOUCPXURYOFPMF,0.67
25,A1FUR4UJ0S46W6,373ERPL3YO9WCEMSXDZDG6PYTEZRTA,2
26,A1GYBKY3JMM0PW,3N2BF7Y2VQVFAPI5SBM7GOS0CX5MH7,1.09
27,A1HGYZ65QAB86,37UEWGM5HT9V3UAJVUF3A0631V91RC,1.52
28,A1KLAGM9CCOFBN,3OS4RQUCR9GZD2N26W8YZN5TKJOFBD,1.43
29,A1KTPYX40PRLVW,3AAPLD8UCCIJNK8P18NJ22NS66ZTHF,1.09
30,A1KTPYX40PRLVW,3AAPLD8UCCIJNK8P18NJ22NS66ZTHF,1.09
31,A1KWC8TW8ANBQ8,3R5F3LQFV2LP1D3BBD7R8ZLA3N1OZE,0.67
32,A1M5OZVJCY4ZGB,3RU7GD8VPOUAL1TYVLQY16TXQDXSPU,1.43
33,A1N1EF0MIRSEZZ,3EJJQNKU9R6675VXXJIO2NMAIMDRHD,1.22
34,A1N7O7E8HC03D8,3Y5140Z9DXHLRNQ2Q9WKX4NAHFVPIZ,0
35,A1NCSZCN8EA787,3TOK3KHVJTJ6H3X5SIF8HFSBTV2O72,1.52
36,A1NY4BKZLOB92H,3X65QVEQI0O4NZP4677R5KGVZ0ACLM,1.09
37,A1OQIXAU1SEJ4P,3TVSS0C0E111KA3EW79J35XFLTEWTI,2
38,A1P3J34DH57JNB,33LKR6A5KEL8J9NBZJKYAF7LPG61TP,1.09
39,A1P5RUOHI2VR2Q,36AHBNMV1RDYSQ2HPIRSJY09TGQDYH,0.67
40,A1P5RUOHI2VR2Q,36AHBNMV1RDYSQ2HPIRSJY09TGQDYH,0.67
41,A1P8D9AVJESWVR,3FDJT1UU749848Y76X8ICEX6IJJK5J,0.67
42,A1PAMVTKGCXSWQ,32RIADZISS5OW87FX1YAY8I2ZH1S43,1.43
43,A1Q96SFZ3JT4DE,39KFRKBFINWPWNT6FR58USC8XTXOYN,2
44,A1QC1K71RGKZBI,3TESA3PJ31B123JGJ82K8T0WTJ4MMG,1.43
45,A1QT7BQZVOBSY0,373ERPL3YO9WCEMSXDZDG6PYTEZTRC,1.52
46,A1RL6LTB8DSNVE,3B837J3LDOXVXE9D8DUN61TCRVLRSL,2
47,A1T7EB1WEDCMXV,3X73LLYYQ1FLS7354C17T3H0HNFHN2,0.67
48,A1TARNH07A75CG,3ZSANO2JCF8YUO44HIUTPCFTO7ASFR,1.22
